Company,Producing unit,ID,Revised Ship date
FFL,FFL,12990,20-Jun-21
FFL,FFL,12952,20-Jun-21
FFL,FFL,12992,20-Jun-21
FFL,FFL,12991,20-Jun-21
FFL,FFL,12994,20-Jun-21
FFL,FFL,12993,20-Jun-21
LAL,A21,12061,5-Jun-21
FFL,FFL,12996,20-Jun-21
FFL,FFL,12995,20-Jun-21
FFL,FFL,12998,20-Jun-21
FFL,FFL,12997,20-Jun-21
FFL,FFL,13000,20-Jun-21
FFL,FFL,12999,20-Jun-21
A21,FFL,11978,3-May-21
A21,FFL,11954,9-May-21
FFL,FFL,12483,15-Jun-21
FFL,FFL,13156,20-Jun-21
FFL,FFL,13157,20-Jun-21
FFL,FFL,13158,20-Jun-21
FFL,FFL,13172,25-Jun-21
FFL,FFL,13153,25-Jun-21
FFL,FFL,13155,25-Jun-21
FFL,FFL,13154,25-Jun-21
FFL,FFL,13151,25-Jun-21
FFL,FFL,13152,25-Jun-21
A21,FFL,11941,30-May-21
A21,FFL,11963,31-May-21
FFL,FFL,13099,19-Jun-21
FFL,FFL,13031,19-Jun-21
FFL,FFL,13032,19-Jun-21
FFL,FFL,13024,19-Jun-21
FFL,FFL,13026,19-Jun-21
FFL,FFL,13022,19-Jun-21
FFL,FFL,13021,19-Jun-21
A21,FFL,11962,25-Jun-21
A21,FFL,11948,3-Jun-21
LAL,A21,12032,30-Jun-21
LAL,A21,12017,20-Jun-21
LAL,A21,12031,15-Jun-21
LAL,A21,12026,15-Jun-21
LAL,A21,12023,15-Jun-21
LAL,A21,12029,15-Jun-21
LAL,A21,12038,30-Jun-21
LAL,A21,12068,30-Jun-21
LAL,A21,12052,20-Jun-21
LAL,A21,12252,30-Jul-21
LAL,A21,12253,20-Jul-21
LAL,A21,13053,30-Jul-21
LAL,A21,13054,30-Jul-21
LAL,A21,13055,20-Jun-21
A21,FFL,11928,10-Jun-21
A21,A21,12774,15-Sep-21
A21,A21,12777,15-Sep-21
A21,FFL,11946,10-Jun-21
A21,FFL,11965,10-Jun-21
A21,FFL,11981,15-Jun-21
A21,A21,11085,5-Jun-21
A21,FFL,11944,22-Jun-21
A21,FFL,11966,22-Jun-21
A21,A21,11075,5-Jun-21
A21,A21,12070,12-Jun-21
A21,A21,3425,10-Jan-22
A21,A21,3681,10-Jan-22
A21,LAL,11002,10-Jun-21
A21,LAL,11375,12-Jun-21
A21,FFL,11920,30-Jun-21
A21,FFL,11933,30-Jun-21
A21,FFL,11995,22-Jun-21
A21,FFL,11927,30-Jun-21
A21,FFL,11952,30-Jun-21
A21,FFL,11964,3-Jul-21
A21,LAL,11823,12-Jun-21
A21,LAL,11374,20-Jul-21
A21,FFL,11931,3-Jul-21
A21,FFL,11993,3-Jul-21
A21,A21,8728,30-Jun-21
A21,A21,12083,19-Jun-21
A21,A21,12076,12-Apr-22
A21,A21,13473,19-Jun-21
A21,A21,11034,19-Jun-21
LAL,LAL,12094,16-Jun-21
LAL,LAL,12598,16-Jun-21
LAL,LAL,12599,20-Jun-21
LAL,A21,13277,30-Jun-21
LAL,A21,13278,30-Jun-21
LAL,A21,13287,30-Jun-21
LAL,A21,13288,30-Jun-21
LAL,A21,13312,30-Jun-21
LAL,A21,13313,30-Jun-21
LAL,A21,13314,30-Jun-21
LAL,A21,12024,30-Jul-21
LAL,A21,12019,30-Jul-21
LAL,A21,12053,30-Jul-21
LAL,A21,12054,30-Jul-21
LAL,A21,12057,30-Jun-21
LAL,A21,12059,30-Jul-21
LAL,A21,12066,30-Jun-21
LAL,A21,12034,30-Jul-21
LAL,A21,12035,30-Jul-21
LAL,A21,12033,30-Jul-21
LAL,A21,12030,30-Jun-21
LAL,A21,12036,30-Jul-21
LAL,A21,12027,30-Jun-21
LAL,A21,12039,30-Jul-21
LAL,A21,12041,30-Jul-21
LAL,A21,12058,30-Jun-21
LAL,A21,12043,30-Jul-21
LAL,A21,12060,30-Jul-21
LAL,A21,12065,30-Jun-21
LAL,A21,12056,30-Jul-21
LAL,A21,12063,30-Jun-21
LAL,A21,12042,30-Jul-21
LAL,A21,12074,30-Jun-21
LAL,A21,12075,30-Jul-21
LAL,A21,12077,30-Jul-21
LAL,A21,12081,30-Jun-21
LAL,A21,12103,30-Jul-21
LAL,A21,13373,10-Jun-21
A21,A21,13294,15-Jun-21
A21,A21,13295,15-Jun-21
A21,A21,13292,15-Jun-21
A21,A21,13293,15-Jun-21
LAL,LAL,11132,16-Jun-21
LAL,LAL,11739,16-Jun-21
A21,A21,13056,20-Jun-21
LAL,A21,12040,30-Jul-21
A21,FFL,11953,22-Aug-21
A21,FFL,11973,3-Jun-21
A21,A21,11772,17-Jun-21
FFL,FFL,13394,14-Jul-21
FFL,FFL,13398,14-Jul-21
