"ERP
ID",Gross,Basic,"House
rent","Allow
ance",Percentage,Increment Amount,"New
Gross",Effective date
9666,30000,18767,9383,1850,16.6,5000,35000,01.02.2021
9669,25000,15433,7717,1850,8,2000,27000,01.02.2021
9668,19000,11433,5717,1850,10.5,2000,21000,01.02.2021
9670,30000,18767,9383,1850,5,1500,31500,01.02.2021
9659,19800,11967,5983,1850,10,2000,21800,01.02.2021
9662,18200,10900,5450,1850,8.2,1500,19700,01.02.2021
9667,16000,9433,4717,1850,12.5,2000,18000,01.02.2021
9721,17000,10100,5050,1850,11.7,2000,19000,01.02.2021
9768,17000,10100,5050,1850,5.8,1000,18000,01.02.2021
9757,18000,10768,5383,1850,11.1,2000,20000,01.02.2021
8912,60000,38767,19383,1850,25,15000,75000,01.02.2021
6660,47500,30433,15217,1850,18.9,9000,56500,01.02.2021
6670,34000,21433,10717,1850,17.6,6000,40000,01.02.2021
8911,27000,16767,8383,1850,33.3,9000,36000,01.02.2021
6681,28000,17433,8717,1850,25,7000,35000,01.02.2021
6668,30000,18767,9383,1850,13.6,4080,34080,01.02.2021
6742,40000,25433,12717,1850,10.2,4080,44080,01.02.2021
6706,45200,28900,14450,1850,11.3,5100,50300,01.02.2021
6766,30000,18767,9383,1850,17,5100,35100,01.02.2021
6656,34500,21767,10883,1850,5.9,2020,36520,01.02.2021
6738,19000,11433,5717,1850,10.6,2020,21020,01.02.2021
6687,37500,23767,11883,1850,10.7,4000,41500,01.02.2021
6675,36000,22767,11383,1850,9.7,3500,39500,01.02.2021
6655,29000,18100,9050,1850,12.3,3570,32570,01.02.2021
6664,27000,16767,8383,1850,11.3,3060,30060,01.02.2021
6674,22300,13633,6817,1850,11.9,2652,24952,01.02.2021
6677,22000,13433,6717,1850,12.1,2652,24652,01.02.2021
6666,27000,16767,8383,1850,13.2,3570,30570,01.02.2021
6682,32500,20433,10217,1850,9.4,3060,35560,01.02.2021
6699,21000,12767,6383,1850,12.4,2600,23600,01.02.2021
6679,21000,12767,6383,1850,12.1,2550,23550,01.02.2021
6665,23400,14367,7183,1850,12.2,2856,26256,01.02.2021
6657,24700,15233,7617,1850,10.3,2550,27250,01.02.2021
6785,20500,12433,6217,1850,12.4,2550,23050,01.02.2021
6817,22000,13433,6717,1850,11.6,2550,24550,01.02.2021
6701,24000,14767,7383,1850,10.6,2550,26550,01.02.2021
6690,21500,13100,6550,1850,14,3000,24500,01.02.2021
6711,34600,21833,10917,1850,13.3,4590,39190,01.02.2021
6703,33000,20767,10383,1850,16.7,5500,38500,01.02.2021
6712,21100,12833,6417,1850,12.1,2550,23650,01.02.2021
6768,26000,16100,8050,1850,11.8,3060,29060,01.02.2021
6769,21000,12767,6383,1850,12.1,2550,23550,01.02.2021
6661,35500,22433,11217,1850,10.1,3570,39070,01.02.2021
6716,28500,17767,8883,1850,12.5,3570,32070,01.02.2021
6662,22000,13433,6717,1850,11.6,2550,24550,01.02.2021
6658,20700,12567,6283,1850,11.8,2450,23150,01.02.2021
6709,20500,12433,6217,1850,12,2450,22950,01.02.2021
6788,20000,12100,6050,1850,12.3,2450,22450,01.02.2021
6683,35500,22433,11217,1850,10.1,3570,39070,01.02.2021
6688,22700,13900,6950,1850,12.1,2756,25456,01.02.2021
6806,18000,10767,5383,1850,14.2,2550,20550,01.02.2021
6803,20000,12100,6050,1850,12.2,2448,22448,01.02.2021
6663,34500,21767,10883,1850,11.8,4080,38580,01.02.2021
6669,21700,13233,6617,1850,12.2,2652,24352,01.02.2021
6780,22000,13433,6717,1850,12.1,2652,24652,01.02.2021
6715,25000,15433,7717,1850,12.2,3060,28060,01.02.2021
6678,28500,17767,8883,1850,12.5,3570,32070,01.02.2021
6721,19000,11433,5717,1850,11.8,2244,21244,01.02.2021
